Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11590 VArgentina0,DVB-S28PSK300005/6,126,LU14 Radio Provincia,,,,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
11590 VArgentina0,DVB-S28PSK300005/6,126,LU14 Radio Provincia,,,,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
11590 VArgentina0,DVB-S28PSK300005/6,126,LU14 Radio Provincia,,,,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
11590 VArgentina0,DVB-S28PSK300005/6,126,LU14 Radio Provincia,,,,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
11590 VArgentina0,DVB-S28PSK300005/6,126,LU14 Radio Provincia,,,,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12055 HArgentina0,DVB-S22963,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S2,4400,5/6,12055 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12055 HArgentina0,DVB-S22963,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S2,4400,5/6,12055 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12055 HArgentina0,DVB-S22963,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S2,4400,5/6,12055 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12055 HArgentina0,DVB-S22963,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S2,4400,5/6,12055 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12055 HArgentina0,DVB-S22963,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S2,4400,5/6,12055 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12055 HArgentina0,DVB-S22963,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S2,4400,5/6,12055 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12058 HArgentina0,DVB-S4170,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S,4400,5/6,12058 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12058 HArgentina0,DVB-S4170,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S,4400,5/6,12058 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12058 HArgentina0,DVB-S4170,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S,4400,5/6,12058 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12058 HArgentina0,DVB-S4170,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S,4400,5/6,12058 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
12058 HArgentina0,DVB-S4170,1,LU14 Radio Provincia,,,,67 Spa,,,DVB-S,4400,5/6,12058 H,,0,,,LU14 Radio Provincia,https://www.lyngsat.com/radiochannels/ar/LU14-Radio-Provincia.html,,
