Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
3840 Htp 4HSE Asia C,DVB-S300003/4,804,People TV (Thailand),,MPEG-2/SD,204,304 Tha,BISS 1,,
3840 Htp 4HSE Asia C,DVB-S300003/4,806,News 1,,MPEG-2/SD,206,306 Tha,BISS 1,,
12687 VSE Asia Ku,DVB-S300005/6,134,News 1,,MPEG-4/SD,334,434 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,808,[test card],,MPEG-4/HD,208,308,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,605,[test card],,MPEG-2/SD,205,105,BISS 1,,
4120 Htp 11HSE Asia C,DVB-S28PSK300002/3,726,[test card],,MPEG-4/SD,326,42.,,,
12343 VSE Asia Ku,DVB-S2450003/4,1009,[test card],,MPEG-4/SD,209,309 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1012,[test card],,MPEG-4/SD,212,312 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1024,[test card],,MPEG-4/SD,224,324 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,1025,[test card],,MPEG-4/SD,225,325 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,809,Cool Channel,,MPEG-2/SD,209,309 Tha,BISS 1,,
12687 VSE Asia Ku,DVB-S300005/6,122,Cool Channel,,MPEG-2/SD,322,422 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,810,Police TV,,MPEG-2/SD,210,310 Tha,BISS 1,,
3840 Htp 4HSE Asia C,DVB-S300003/4,811,Dopa Channel,,MPEG-2/SD,211,311 Tha,BISS 1,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1201,Major Channel Mix,,MPEG-2/SD,1501,1601 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5002,Major Channel Mix,,MPEG-4/SD,7002,8002 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1202,MV Mall Best,,MPEG-4/HD,1502,1602 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5004,MV Mall Best,,MPEG-4/SD,7004,8004 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1204,TVB Thai,,MPEG-4/HD,1504,1604 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5001,TVB Thai,,MPEG-4/HD,7001,8001 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1205,MV TV Channel,,MPEG-4/HD,1505,1605 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5003,MV TV Channel,,MPEG-4/SD,7003,8003 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1206,Rama Channel (2),,MPEG-4/HD,1506,1606 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5010,Rama Channel (2),,MPEG-4/SD,7010,8010 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1207,MV Mall Family,,MPEG-2/SD,1507,1607 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5015,MV Mall Family,,MPEG-4/SD,7015,8.15 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1208,Happy TV 65,,MPEG-2/SD,1508,1608 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5045,Happy TV 65,,MPEG-2/SD,7045,8045 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1209,MV Mall Home,,MPEG-4/HD,1509,1609 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1210,Voice TV,,MPEG-4/HD,1510,1610 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5044,Voice TV,,MPEG-4/SD,7044,804. Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1211,France 24 English,,MPEG-2/SD,1511,1611 Eng,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1212,MV Mall Trend,,MPEG-2/SD,1512,1612 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1213,Thaiban 83,,MPEG-2/SD,1513,1613 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5043,Thaiban 83,,MPEG-2/SD,7043,8043 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,1214,Boomerang Thailand,,MPEG-4/HD,1514,1614 Tha,,,
12343 VSE Asia Ku,DVB-S2450003/4,5046,Boomerang Thailand,,MPEG-4/HD,7046,8046 Tha,BISS,,
3840 Htp 4HSE Asia C,DVB-S300003/4,826,Naraithong Radio,,,,326 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,827,Me Radio,,,,327 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,828,Culture Wave FM,,,,328 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,829,Thai Weather Radio,,,,329 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,830,Thai Weather Radio Volmet,,,,330 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,831,Thai Weather Radio Ship,,,,331 Tha,,,
3840 Htp 4HSE Asia C,DVB-S300003/4,832,Thai Weather Radio Fax,,,,332 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,,CAT Telecom,,1-1,,5.5,BISS 1,Albert I240209,https://www.lyngsat.com/providers/th/CAT-Telecom.html
3880 Htp 5HSE Asia C,DVB-S300003/4,24,13 Siam Thai,,MPEG-2/SD,514,614 Tha,BISS 1,,
3880 Htp 5HSE Asia C,DVB-S300003/4,26,STOU Channel,,MPEG-4/HD,516,616 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,42,Suwannabhumi Channel,,MPEG-2/SD,242,342 Tha,BISS 1,,
3880 Htp 5HSE Asia C,DVB-S300003/4,43,Boonniyom TV,,MPEG-2/SD,243,343 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,44,Kuru TV,,MPEG-2/SD,244,344 Tha,BISS 1,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,38,Kuru TV,,MPEG-4/SD,3038,4038 Tha,BISS,,
3880 Htp 5HSE Asia C,DVB-S300003/4,45,E-San Banhouw,,MPEG-2/SD,245,345 Tha,BISS 1,,
12728 VSE Asia Ku,DVB-S28PSK300003/4,28,E-San Banhouw,,MPEG-4/SD,3028,4028 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,46,Yateem TV,,MPEG-2/SD,246,346 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,47,Chic Station,,MPEG-2/SD,247,347 Tha,BISS 1,,
3880 Htp 5HSE Asia C,DVB-S300003/4,48,Anurak TV,,MPEG-2/SD,248,348 Tha,BISS 1,,
3880 Htp 5HSE Asia C,DVB-S300003/4,49,Serng TV 97,,MPEG-2/SD,249,349 Tha,BISS 1,,
3880 Htp 5HSE Asia C,DVB-S300003/4,50,New TM,,MPEG-2/SD,250,350 Tha,BISS 1,,
3880 Htp 5HSE Asia C,DVB-S300003/4,52,Annas TV,,MPEG-2/SD,252,352 Tha,BISS 1,,
3880 Htp 5HSE Asia C,DVB-S300003/4,53,White Channel,,MPEG-2/SD,253,353 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,7,Police Radio,,,,121 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,18,Siangdham Radio,,,,608 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,20,MCOT Sukhothai FM,,,,610 Tha,,,
3880 Htp 5HSE Asia C,DVB-S300003/4,31,Maxagro Radio,,,,331 Tha,,,
3920 Htp 6HSE Asia C,DVB-S300003/4,602,TNN 16,,MPEG-2/SD,202,102 Tha1102 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,16,TNN 16,,MPEG-4/SD,1161,1162 Tha1163 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,603,True 4U,,MPEG-2/SD,203,103 Tha1103 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,24,True 4U,,MPEG-4/SD,1241,1242 Tha1243 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,604,NBT 2,,MPEG-2/SD,204,104 Tha1104 Qaa,BISS 1,,
4150 Htp 12HSE Asia C,DVB-S2QPSK120003/4,2,NBT 2,,8956-10MPEG-4/HD,1021,4.01022.1023 Tha;Qaa,BISS 1,Albert I230101,
3920 Htp 6HSE Asia C,DVB-S300003/4,606,Workpoint 23,,MPEG-2/SD,206,106.1106 Tha;Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,23,Workpoint 23,,MPEG-4/SD,1231,1232 Tha1233 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,608,Nation TV,,MPEG-2/SD,208,108 Tha1108 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,22,Nation TV,,MPEG-4/SD,1221,1222 Tha1223 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,613,One 31,,MPEG-2/SD,213,113 Tha1113 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,31,One 31,,MPEG-4/HD,1311,1312 Tha1313 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,615,Channel 3 (Thailand),,MPEG-2/SD,215,115 Tha1115 Qaa,BISS 1,,
4008 Htp 8HSE Asia C,DVB-S2QPSK150004/5,33,Channel 3 (Thailand),,MPEG-4/HD,1331,1332 Tha1333 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,616,Amarin 34 HD,,MPEG-2/SD,216,116 Tha1116 Qaa,BISS 1,,
4080 Htp 10HSE Asia C,DVB-S2QPSK300004/5,34,Amarin 34 HD,,MPEG-4/HD,1341,1342 Tha1343 Qaa,BISS 1,,
3920 Htp 6HSE Asia C,DVB-S300003/4,617,BBTV Channel 7,,MPEG-2/SD,217,117 Tha1117 Qaa,BISS 1,,
