Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11065 Vtp B4Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A230207,11065 V,tp B4,,,,,
11070 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A210411,11070 H,tp B3,,,,,
11074 Vtp B4Europe A,DVB-S28PSK30003/4,,(feeds),,,,,,Roli230108,11074 V,tp B4,,,,,
11076 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,M Hajdú170528,11076 H,tp B3,,,,,
11078 Vtp B4Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A230207,11078 V,tp B4,,,,,
11084 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Roli141026,11084 H,tp B3,,,,,
11090 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Roli150221,11090 H,tp B3,,,,,
11090 Vtp B4Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Roli140824,11090 V,tp B4,,,,,
11096 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Roli141020,11096 H,tp B3,,,,,
11096 Vtp B4Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A150915,11096 V,tp B4,,,,,
11102 Htp B3Europe A,DVB-S28PSK49373/4,,(feeds),,,,,,Jamie A240123,11102 H,tp B3,,,,,
