Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11175 Htp 11KCentral Asia,DVB-S28PSK300005/6,4.0,Ictimai TV,,MPEG-4/HD,131.0,132 Aze,,,11175 H,tp 11K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,28.0,Azercosmos promo,,MPEG-2/SD,1280.0,1281 Eng,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,39.0,Azercosmos promo,,MPEG-4/HD,1390.0,1391 Eng,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,36.0,Marao TV,,MPEG-4/SD,1360.0,1361 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,37.0,Topaz 2,,HEVC/HD,1370.0,1371 Aze,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,38.0,Equalympic,,MPEG-4/SD,1380.0,1381 Ukr,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,29.0,Radio Imedi,,,,3001 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,30.0,Radio Sakartvelos Xhma,,,,3002 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,33.0,Radio Ajara,,,,3004 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,34.0,Georgia Radio,,,,3006 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11095 Htp 7KEurope,DVB-S28PSK300005/6,35.0,FM Obieqtivi,,,,3005 Geo,,,11095 H,tp 7K,,,,False,ARB Media Qrup
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,,Azercosmos,,,,9.4,,N Stanislav240207,11135 H,tp 9K,,,https://www.lyngsat.com/providers/az/Azercosmos.html,True,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,2.0,TMB Azerbaycan,,MPEG-4/HD,1702.0,1802 Aze,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,3.0,TNV Planeta,,MPEG-4/SD,1703.0,1803 Rus,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,4.0,Tugan Tel,,MPEG-4/SD,1704.0,1804 Rus,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,5.0,Belarus 24,,MPEG-4/HD,1705.0,1805 Rus,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,6.0,Next TV,,MPEG-4/SD,1706.0,1806 Kir,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,7.0,AzStar TV,,MPEG-4/HD,1707.0,1807,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,8.0,GünAz TV,,MPEG-4/HD,1708.0,1.08 Aze,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,9.0,Misli TV,,MPEG-4/HD,1709.0,1809 Tur,BISS,,11135 H,tp 9K,,BISS,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,10.0,Misli TV,,MPEG-4/HD,1710.0,1810 Tur,BISS,,11135 H,tp 9K,,BISS,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,12.0,Az News TV,,MPEG-4/HD,1712.0,1812 Aze,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,13.0,Iran International,,MPEG-4/SD,1713.0,1813 Per,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,14.0,Pars TV,,MPEG-4/SD,1714.0,1814 Per,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,15.0,Omid-e-Iran,,MPEG-4/SD,1715.0,1815 Per,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,17.0,TRT Türk,,MPEG-4/HD,1717.0,1817 Tur,,,11135 H,tp 9K,,,,False,Azercosmos
11135 Htp 9KCentral Asia,DVB-S28PSK300005/6,51.0,Pal FM,,,,1851 Tur,,,11135 H,tp 9K,,,,False,Azercosmos
