Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
12633 Htp 113Pan Europe0,DVB-S220005/6,12655,Radio Paloma,,,,355 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12656,Radio HBR,,,,356 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12657,Radio HCJB Deutschland,,,,357 Ger,,,12633 H,tp 113,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,12659,Radio Gloria,,,,359 Ger,,,12633 H,tp 113,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,,ORF Digital,,1-1115,,6.5,,M Al-TaieD Shimoni240202,12663 H,tp 115,0,,
12692 Htp 117Pan Europe0,DVB-S220005/6,,ORF Digital,,1-1117,,6.5,CryptoworksIrdetoVideoguard,DXAndyT Viererbe240201,12692 H,tp 117,0,"Cryptoworks,Irdeto,Videoguard",
12663 Htp 115Pan Europe0,DVB-S220005/6,13102,Nitro Austria,,MPEG-2/SD,1020,1021 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13103,Dokusat,,MPEG-4/SD,1030,1031 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13104,LT 1 (21:30-17:00 & 17:30-21:00),,MPEG-4/SD,1040,1041 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13104,HT 1 Innviertel (17:00-17:30 & 21:00-21:30),,MPEG-4/SD,1040,1041 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13106,Shop LC Deutschland,,MPEG-4/SD,1060,1061 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13107,Visit-X TV,,MPEG-2/SD,1070,1071 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13110,Genius TV+,,MPEG-4/SD,1110,1111 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13113,L TV,,MPEG-4/SD,2130,2131 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13141,AstroTV,,MPEG-4/HD,2410,2411 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13121,Ö1,,,,421 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13123,Radio Wien,,,,423 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13124,Radio Niederösterreich,,,,424 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13125,Radio Burgenland,,,,425 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13126,Radio Oberösterreich,,,,426 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13127,Radio Salzburg,,,,427 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13128,Radio Tirol,,,,428 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13129,Radio Vorarlberg,,,,429 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13130,Radio Steiermark,,,,430 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13131,Radio Kärnten,,,,431 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13133,Hitradio Ö3,,,,433 Ger,,,12663 H,tp 115,0,,
12692 Htp 117Pan Europe0,DVB-S220005/6,13013,Hitradio Ö3,,MPEG-4/HD,130,131 Ger,,,12692 H,tp 117,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13134,Radio FM 4,,,,434 Ger,,,12663 H,tp 115,0,,
12663 Htp 115Pan Europe0,DVB-S220005/6,13140,Radio Maria Österreich,,,,440 Ger,,,12663 H,tp 115,0,,
12692 Htp 117Pan Europe0,DVB-S220005/6,13014,ORF 2 Europe,,MPEG-2/SD,170,171 Ger,,,12692 H,tp 117,0,,
12692 Htp 117Pan Europe0,DVB-S220005/6,13018,Volksmusik TV,,MPEG-4/SD,180,181 Ger,,,12692 H,tp 117,0,,
12692 Htp 117Pan Europe0,DVB-S220005/6,13019,RiC,,MPEG-2/SD,190,191 Ger,,,12692 H,tp 117,0,,
12692 Htp 117Pan Europe0,DVB-S220005/6,13021,N-TV Austria,,MPEG-4/SD,3020,3021 Ger,,,12692 H,tp 117,0,,
12692 Htp 117Pan Europe0,DVB-S220005/6,13023,TV 1 Oberösterreich,,MPEG-4/SD,3040,3041 Ger,,,12692 H,tp 117,0,,
