Provider/Channel,Sattelite_Name,freq_alt,encryption_alt
ANC,Intelsat-19,3949 H,PowerVu
ANC,Intelsat-19,4180 H,PowerVu
Metro Channel,Intelsat-19,3949 H,PowerVu
Metro Channel,Intelsat-19,4180 H,PowerVu
Cinema 1 Philippines,Intelsat-19,3949 H,PowerVu
Cinema 1 Philippines,Intelsat-19,4180 H,PowerVu
Myx Philippines,Intelsat-19,3949 H,PowerVu
Myx Philippines,Intelsat-19,4180 H,PowerVu
Knowledge Channel,Intelsat-19,3949 H,
Knowledge Channel,Intelsat-19,4180 H,
TeleRadyo Serbisyo,Intelsat-19,3949 H,PowerVu
TeleRadyo Serbisyo,Intelsat-19,4180 H,PowerVu
Cine Mo!,Intelsat-19,3949 H,PowerVu
Cine Mo!,Intelsat-19,4180 H,PowerVu
Kapamilya Channel Luzon,Intelsat-19,3949 H,PowerVu
Kapamilya Channel Luzon,Intelsat-19,4180 H,PowerVu
Kapamilya Channel Mindanao,Intelsat-19,3949 H,PowerVu
Kapamilya Channel Mindanao,Intelsat-19,4180 H,PowerVu
China Plus Radio,Intelsat-19,3956 V,
CRI Newsradio,Intelsat-19,3956 V,
PacificAus TV,Intelsat-19,3976 V,BISS
Animal Planet Australia,Intelsat-19,3980 H,PowerVu
Animal Planet New Zealand,Intelsat-19,3980 H,PowerVu
Discovery Channel New Zealand,Intelsat-19,3980 H,PowerVu
TLC Australia,Intelsat-19,3980 H,PowerVu
Eurosport Asia,Intelsat-19,3980 H,PowerVu
Investigation Discovery Australia,Intelsat-19,3980 H,PowerVu
Discovery Channel Australia,Intelsat-19,3980 H,PowerVu
Discovery Turbo Australia,Intelsat-19,3980 H,PowerVu
Eve,Intelsat-19,4040 V,PowerVu
Discovery Science Southeast Asia,Intelsat-19,4040 V,PowerVu
DMAX Southeast Asia,Intelsat-19,4040 V,PowerVu
Animal Planet Southeast Asia,Intelsat-19,4040 V,PowerVu
Discovery Channel Southeast Asia,Intelsat-19,4040 V,PowerVu
TLC Southeast Asia,Intelsat-19,4040 V,PowerVu
Discovery Channel China Hotels,Intelsat-19,4040 V,PowerVu
Discovery Asia,Intelsat-19,4040 V,PowerVu
VoA TV Global,Intelsat-19,4060 H,
VoA/RFA News,Intelsat-19,4060 H,
VoA TV China,Intelsat-19,4060 H,
VoA TV Africa,Intelsat-19,4060 H,
BBC News Asia Pacific,Intelsat-19,4060 H,PowerVu
BBC News Asia Pacific,Intelsat-19,4060 H,PowerVu
EWTN Asia - Pacific,Intelsat-19,4060 H,
EWTN Asia - Pacific,Intelsat-19,12606 H,
ESPN Pacific Rim,Intelsat-19,4060 H,PowerVu
CNBC Asia-Pacific,Intelsat-19,4060 H,Director
CNBC Asia-Pacific,Intelsat-19,4060 H,Director
CNBC Australia,Intelsat-19,4060 H,Director
Dog TV,Intelsat-19,4060 H,BISS 1
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
VoA Djibouti MW,Intelsat-19,4060 H,
VoA Urdu,Intelsat-19,4060 H,
VoA 1,Intelsat-19,4060 H,
VoA East Timor,Intelsat-19,4060 H,
EWTN Radio,Intelsat-19,4060 H,
Radio Free Asia,Intelsat-19,4060 H,
