Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
4,CCTV 6,,MPEG-4/SD,515,771 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
5,CCTV Entertainment,,MPEG-4/SD,516,772 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
6,CGTN Documentary,,MPEG-4/SD,517,773 Eng,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
8,Dragon TV International,,MPEG-4/SD,519,775 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
9,Jiangsu TV International,,MPEG-4/SD,520,776 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
10,Hunan TV International,,MPEG-4/SD,521,777 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
11,Fujian Straits TV,,MPEG-4/SD,522,778 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
12,Xiamen Star TV International,,MPEG-4/SD,523,779 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
13,The Greater Bay Satellite TV,,MPEG-4/SD,524,780 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
16,Chongqing TV International,,MPEG-4/SD,527,783 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
19,Henan TV International Channel,,MPEG-4/SD,530,786 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
20,Anhui International Channel,,MPEG-4/SD,531,787 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
21,Zhejiang Satellite TV International,,MPEG-4/SD,532,788 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
22,Yunnan Lancang-Mekong International Channel,,MPEG-4/SD,533,789,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,Angel TV Chinese,,MPEG-4/SD,2801,2802 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
4,GCN Korea,,MPEG-4/SD,48,45,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
12,One TV,,MPEG-4/SD,36,35 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
13,One TV Discover,,MPEG-4/SD,110,111 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
7,DZBB 594 Super Radyo,,,,1330 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
100,Barangay LS 97.1,,,,1331 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
54,DZAR Sonshine Radio 1026,,,,4128,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
3831 Htp 6AAsia & Australia & Pacific0,DVB-S28PSK50003/4,,,,,,7.9,,Albert I230419,,,3847 H,tp 6A,Asia & Australia & Pacific0
3,INC Radio DZEM 954,,,,632,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
6,Radyo Agila,,,,733 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
7,Eagle FM,,,,732,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
3,(feeds),,,769,770,BISS,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
3884 Htp 7AAsia & Australia & Pacific0,,,,,,,,,C Sutton240228,,,3847 H,tp 6A,Asia & Australia & Pacific0
4020 Vtp 10BAsia & Australia & Pacific0,,,,,,,,,C Sutton240128,,,3847 H,tp 6A,Asia & Australia & Pacific0
11,DWIZ 882 AM,,,,112 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
,NHK World Japan Radio,,,,61,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
3768 Htp 4AAsia & Australia & Pacific,DVB-S28PSK16002/3,,(GMA TV feeds),,,,,,Albert I230919,,,3847 H,tp 6A,Asia & Australia & Pacific0
3774 Htp 4AAsia & Australia & Pacific,DVB-S28PSK48002/3,,(GMA TV feeds),,,,,,Albert I231231,,,3847 H,tp 6A,Asia & Australia & Pacific0
3824 Htp 6AAsia & Australia & Pacific0,DVB-S2QPSK33333/4,1,SMNI News Channel,,?-?MPEG-4/SD,33,4.0  34 Tgl,,C Sutton211104,,,3847 H,tp 6A,Asia & Australia & Pacific0
3827 Htp 6AAsia & Australia & Pacific0,DVB-S2QPSK16603/4,36,SMNI,,8192-4096MPEG-4/SD,512,4.04112 Tgl,,C Sutton211104,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,INC TV,,MPEG-4/HD,611,631 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2,Net 25,,MPEG-4/HD,711,731 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,AniPlus HD,,MPEG-4/HD,101,104 Kor,ABV,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2,CinemaWorld,,MPEG-4/HD,201,204 Eng,ABV,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
3,K+,,MPEG-4/HD,301,304 Kor,ABV,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
101,MNB,,MPEG-4/HD,1311,1312 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
102,TV 25 (Mongolia),,MPEG-4/HD,1321,1322 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
105,TenGer TV,,MPEG-4/HD,1081,1082 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
114,NTV (Mongolia),,MPEG-4/HD,1351,1352 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
174,Mongolsat promo,,MPEG-4/HD,1741,1742 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
203,TV Kino Teatr,,MPEG-4/HD,2031,2032 Mon,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
718,SJTV,,MPEG-4/HD,1086,1087 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
719,Sinda TV,,MPEG-4/HD,1091,1092 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
721,Good 2,,MPEG-4/HD,1101,1102 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
722,Hope Channel Chinese,,MPEG-4/HD,1106,1107 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
14,Shenzhen Satellite TV International,,MPEG-4/HD,595,851 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
30,BRTV International Channel,,MPEG-4/HD,592,848 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
3835 Htp 6AAsia & Australia & Pacific0,DVB-S28PSK25003/4,,Solar Entertainment,,0-1,,7.9,VisionCrypt,C Sutton240307,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3835 H,tp 6A,Asia & Australia & Pacific0
3835 Htp 6AAsia & Australia & Pacific0,DVB-S28PSK25003/4,,Solar Entertainment,,0-1,,7.9,VisionCrypt,C Sutton240307,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3867 H,tp 7A,Asia & Australia & Pacific0
3835 Htp 6AAsia & Australia & Pacific0,DVB-S28PSK25003/4,,Solar Entertainment,,0-1,,7.9,VisionCrypt,C Sutton240307,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3835 H,tp 6A,Asia & Australia & Pacific0
3835 Htp 6AAsia & Australia & Pacific0,DVB-S28PSK25003/4,,Solar Entertainment,,0-1,,7.9,VisionCrypt,C Sutton240307,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3867 H,tp 7A,Asia & Australia & Pacific0
3867 Htp 7AAsia & Australia & Pacific0,DVB-S28PSK37503/4,,Solar Entertainment,,,,7.9,PowerVu,Albert I240303,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3835 H,tp 6A,Asia & Australia & Pacific0
3867 Htp 7AAsia & Australia & Pacific0,DVB-S28PSK37503/4,,Solar Entertainment,,,,7.9,PowerVu,Albert I240303,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3867 H,tp 7A,Asia & Australia & Pacific0
