Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
4073 VC,DVB-S28PSK96003/4,1.0,Tarang TV,,MPEG-4/SD,102.0,103 Ori,Irdeto,,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,Tarang TV,https://www.lyngsat.com/tvchannels/in/Tarang-TV.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,7.0,Tarang TV,,HEVC/HD,702.0,703 Ori,Irdeto,,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,Tarang TV,https://www.lyngsat.com/tvchannels/in/Tarang-TV.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,7.0,Tarang TV,,HEVC/HD,702.0,703 Ori,Irdeto,,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,Tarang TV,https://www.lyngsat.com/tvchannels/in/Tarang-TV.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,2.0,Tarang Music,,MPEG-4/SD,202.0,203 Ori,Irdeto,,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,Tarang Music,https://www.lyngsat.com/tvchannels/in/Tarang-Music.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,3.0,Odisha TV,,MPEG-4/SD,502.0,503 Ori,,,DVB-S2,9600.0,3/4,4073 V,,,,,Odisha TV,https://www.lyngsat.com/tvchannels/in/Odisha-TV.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,3.0,Odisha TV,,MPEG-4/SD,502.0,503 Ori,,,DVB-S2,9600.0,3/4,4073 V,,,,,Odisha TV,https://www.lyngsat.com/tvchannels/in/Odisha-TV.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,4.0,Prarthana TV,,MPEG-4/SD,402.0,403 Ori,Irdeto,,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,Prarthana TV,https://www.lyngsat.com/tvchannels/in/Prarthana-TV.html,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,5.0,Alankar TV,,MPEG-4/SD,602.0,603 Ori,Irdeto,,DVB-S2,9600.0,3/4,4073 V,,,Irdeto,,Alankar TV,https://www.lyngsat.com/tvchannels/in/Alankar-TV.html,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,1.0,News Live,,MPEG-4/SD,257.0,258 Asm,,,DVB-S2,9425.0,3/4,4096 V,,,,,News Live,https://www.lyngsat.com/tvchannels/in/News-Live.html,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,1.0,News Live,,MPEG-4/SD,257.0,258 Asm,,,DVB-S2,9425.0,3/4,4096 V,,,,,News Live,https://www.lyngsat.com/tvchannels/in/News-Live.html,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,2.0,Rang,,MPEG-4/SD,357.0,35. Asm,,,DVB-S2,9425.0,3/4,4096 V,,,,,Rang,https://www.lyngsat.com/tvchannels/in/Rang.html,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,12.0,Ramdhenu,,MPEG-4/SD,457.0,458 Asm,,,DVB-S2,9425.0,3/4,4096 V,,,,,Ramdhenu,https://www.lyngsat.com/tvchannels/in/Ramdhenu.html,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,15.0,Northeast Live,,MPEG-4/SD,557.0,558 Eng,,,DVB-S2,9425.0,3/4,4096 V,,,,,Northeast Live,https://www.lyngsat.com/tvchannels/in/Northeast-Live.html,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,15.0,Northeast Live,,MPEG-4/SD,557.0,558 Eng,,,DVB-S2,9425.0,3/4,4096 V,,,,,Northeast Live,https://www.lyngsat.com/tvchannels/in/Northeast-Live.html,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,16.0,Indradhanu TV,,MPEG-4/SD,667.0,668 Asm,,,DVB-S2,9425.0,3/4,4096 V,,,,,Indradhanu TV,https://www.lyngsat.com/tvchannels/in/Indradhanu-TV.html,False,Doordarshan
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4108 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4108 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4108 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4108 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4108 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,DVB-S2,1000.0,3/4,4113 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,DVB-S2,1000.0,3/4,4113 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,DVB-S2,1000.0,3/4,4113 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,DVB-S2,1000.0,3/4,4113 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,DVB-S2,1000.0,3/4,4113 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4116 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4116 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4116 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4116 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,DVB-S2,1000.0,3/4,4116 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
4127 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila210317,DVB-S2,1000.0,3/4,4127 V,,,,https://www.lyngsat.com/providers/in/AIR.html,,,True,AIR
