Provider/Channel,Sattelite_Name,freq_alt,Languages
Radio Oman,Intelsat-19,12606 H,Ara
Vision Christian Radio,Intelsat-19,12606 H,Eng
Dimtsi Hafash,Intelsat-19,12606 H,
Radio Zara FM,Intelsat-19,12606 H,Tir
Radio Numa,Intelsat-19,12606 H,
3ABN Radio Network,Intelsat-19,12606 H,Eng
3ABN Australia Radio,Intelsat-19,12606 H,Eng
Raw FM,Intelsat-19,12606 H,Eng
Kuwait Radio One,Intelsat-19,12606 H,Ara
Kuwait Radio Two,Intelsat-19,12606 H,Ara
SSBC Radio,Intelsat-19,12606 H,Ara
RSN Racing & Sport,Intelsat-19,12606 H,Eng
Nippon TV,Superbird-B3,12314 H,Jpn
NTV News 24,Superbird-B3,12324 H,Jpn
(TBS feeds),Superbird-B3,12348 H,
(NTV feeds),Superbird-B3,12354 H,
(Fuji TV feeds),Superbird-B3,12395 H,
TVNZ Duke,Optus-D2,12358 H,Eng
TVNZ Duke,Optus-D2,12483 H,Eng
Aljazeera English,Optus-D2,12394 H,Eng
ABC Radio Sydney,Optus-D2,12443 V,Eng
ABC Radio Sydney,Optus-D2,12443 V,Eng
ABC Radio Sydney,Optus-D2,12443 V,Eng
ABC Radio Sydney,Optus-D2,12470 H,Eng
ABC Radio Sydney,Optus-D2,12658 H,Eng
ABC Double J,Optus-D2,12443 V,Eng
ABC Double J,Optus-D2,12470 H,Eng
ABC Double J,Optus-D2,12470 H,Eng
ABC Double J,Optus-D2,12470 H,Eng
ABC Double J,Optus-D2,12470 H,Eng
ABC Double J,Optus-D2,12470 H,Eng
ABC Double J,Optus-D2,12470 H,Eng
ABC Double J,Optus-D2,12658 H,Eng
ABC Double J,Optus-D2,12658 H,Eng
ABC Double J,Optus-D2,12658 H,Eng
ABC Double J,Optus-D2,12658 H,Eng
ABC Double J,Optus-D2,12658 H,Eng
ABC Double J,Optus-D2,12658 H,Eng
ABC Classic,Optus-D2,12443 V,Eng
ABC Classic,Optus-D2,12470 H,Eng
ABC Classic,Optus-D2,12470 H,Eng
ABC Classic,Optus-D2,12470 H,Eng
ABC Classic,Optus-D2,12470 H,Eng
ABC Classic,Optus-D2,12470 H,Eng
ABC Classic,Optus-D2,12470 H,Eng
ABC Classic,Optus-D2,12658 H,Eng
ABC Classic,Optus-D2,12658 H,Eng
ABC Classic,Optus-D2,12658 H,Eng
ABC Classic,Optus-D2,12658 H,Eng
ABC Classic,Optus-D2,12658 H,Eng
ABC Classic,Optus-D2,12658 H,Eng
ABC Sport,Optus-D2,12443 V,Eng
ABC Sport,Optus-D2,12445 V,Eng
ABC NewsRadio,Optus-D2,12443 V,Eng
ABC NewsRadio,Optus-D2,12470 H,Eng
ABC NewsRadio,Optus-D2,12470 H,Eng
ABC NewsRadio,Optus-D2,12470 H,Eng
ABC NewsRadio,Optus-D2,12470 H,Eng
ABC NewsRadio,Optus-D2,12470 H,Eng
ABC NewsRadio,Optus-D2,12470 H,Eng
ABC NewsRadio,Optus-D2,12658 H,Eng
ABC NewsRadio,Optus-D2,12658 H,Eng
ABC NewsRadio,Optus-D2,12658 H,Eng
ABC NewsRadio,Optus-D2,12658 H,Eng
ABC NewsRadio,Optus-D2,12658 H,Eng
ABC NewsRadio,Optus-D2,12658 H,Eng
ABC Radio National Queensland,Optus-D2,12443 V,Eng
ABC Triple J,Optus-D2,12445 V,Eng
