SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
7813.0,CTN (USA),MPEG-4/HD,7853.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,CTN (USA),https://www.lyngsat.com/tvchannels/us/CTN.html,False,STN,Eng,us,
7818.0,3ABN English,MPEG-4/HD,7858.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN English,https://www.lyngsat.com/tvchannels/us/3ABN-English.html,False,STN,Eng,us,
7818.0,3ABN English,MPEG-4/HD,7858.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN English,https://www.lyngsat.com/tvchannels/us/3ABN-English.html,False,STN,Eng,us,
7819.0,Amazing Facts TV,MPEG-2/SD,7859.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Amazing Facts TV,https://www.lyngsat.com/tvchannels/us/Amazing-Facts-TV.html,False,STN,Eng,us,
7819.0,Amazing Facts TV,MPEG-2/SD,7859.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Amazing Facts TV,https://www.lyngsat.com/tvchannels/us/Amazing-Facts-TV.html,False,STN,Eng,us,
7820.0,Amazing Discoveries TV,MPEG-2/SD,7860.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Amazing Discoveries TV,https://www.lyngsat.com/tvchannels/ca/Amazing-Discoveries-TV.html,False,STN,Eng,ca,
7820.0,Amazing Discoveries TV,MPEG-2/SD,7860.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Amazing Discoveries TV,https://www.lyngsat.com/tvchannels/ca/Amazing-Discoveries-TV.html,False,STN,Eng,ca,
7821.0,Firstlight,MPEG-2/SD,7891.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Firstlight,https://www.lyngsat.com/tvchannels/nz/Firstlight.html,False,STN,,nz,
7821.0,Firstlight,MPEG-2/SD,7891.0,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Firstlight,https://www.lyngsat.com/tvchannels/nz/Firstlight.html,False,STN,,nz,
7798.0,CJTL Radio,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,CJTL Radio,https://www.lyngsat.com/radiochannels/ca/CJTL-Radio.html,False,STN,Eng,ca,
7798.0,CJTL Radio,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,CJTL Radio,https://www.lyngsat.com/radiochannels/ca/CJTL-Radio.html,False,STN,Eng,ca,
7799.0,Faith Radio,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Faith Radio,https://www.lyngsat.com/radiochannels/us/Faith-Radio.html,False,STN,Eng,us,
7799.0,Faith Radio,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Faith Radio,https://www.lyngsat.com/radiochannels/us/Faith-Radio.html,False,STN,Eng,us,
7814.0,3ABN Radio Music Channel,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN Radio Music Channel,https://www.lyngsat.com/radiochannels/us/3ABN-Radio-Music-Channel.html,False,STN,Eng,us,
7814.0,3ABN Radio Music Channel,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN Radio Music Channel,https://www.lyngsat.com/radiochannels/us/3ABN-Radio-Music-Channel.html,False,STN,Eng,us,
7815.0,3ABN Radio Network,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN Radio Network,https://www.lyngsat.com/radiochannels/us/3ABN-Radio-Network.html,False,STN,Eng,us,
7815.0,3ABN Radio Network,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN Radio Network,https://www.lyngsat.com/radiochannels/us/3ABN-Radio-Network.html,False,STN,Eng,us,
7816.0,Radio 74 Internationale,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Radio 74 Internationale,https://www.lyngsat.com/radiochannels/ch/Radio-74-Internationale.html,False,STN,Eng,ch,
7817.0,3ABN Radio Latino,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN Radio Latino,https://www.lyngsat.com/radiochannels/us/3ABN-Radio-Latino.html,False,STN,Spa,us,
7817.0,3ABN Radio Latino,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,3ABN Radio Latino,https://www.lyngsat.com/radiochannels/us/3ABN-Radio-Latino.html,False,STN,Spa,us,
7901.0,Radio Maryja,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Radio Maryja,https://www.lyngsat.com/radiochannels/pl/Radio-Maryja.html,False,STN,Pol,pl,
7901.0,Radio Maryja,,,DVB-S2,22000.0,3/4,12028 H,tp 18,0.0,,,Radio Maryja,https://www.lyngsat.com/radiochannels/pl/Radio-Maryja.html,False,STN,Pol,pl,
,Globecast,?-7,,DVB-S,22000.0,3/4,12053 V,tp 19,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,?-7,,DVB-S,22000.0,3/4,12053 V,tp 19,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,?-7,,DVB-S,22000.0,3/4,12053 V,tp 19,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,?-7,,DVB-S,22000.0,3/4,12053 V,tp 19,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,?-10,,DVB-S,22000.0,3/4,12146 V,tp 25,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,?-10,,DVB-S,22000.0,3/4,12146 V,tp 25,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,?-10,,DVB-S,22000.0,3/4,12146 V,tp 25,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,?-10,,DVB-S,22000.0,3/4,12146 V,tp 25,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,1-5,,DVB-S,20000.0,3/4,12152 H,tp 26,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
,Globecast,1-5,,DVB-S,20000.0,3/4,12152 H,tp 26,0.0,,https://www.lyngsat.com/providers/fr/Globecast.html,,,True,Globecast,,,fr
